rekrutacja,kolejność_plików,publication_date,print_datetime,page,page_total,wojewodztwo,lp,dziedzina_medycyny,numer_wniosku,tryb_szkolenia,punktacja_proc,srednia_arytmetyczna,data_zlozenia_wniosku,ilość_zakwalifikowanych_w_trybie,czy_miejsca_doktoranckie,doktoranckie_podmiot,doktoranckie_jednostka
j-2024,12,19.11.2024,19.11.2024 09:28:25,1,144,Dolnośląskie,30,Chirurgia ogólna,2024/033137,Rezydencki,81.37,4.19,30.09.2024 14:00:38,15,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,1,144,Dolnośląskie,31,Chirurgia ogólna,2024/033024,Rezydencki,81.37,3.33,29.09.2024 22:57:08,15,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,1,144,Dolnośląskie,32,Chirurgia ogólna,2024/026150,Rezydencki,76.59,4.38,15.09.2024 20:46:00,15,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,1,144,Dolnośląskie,33,Chirurgia ogólna,2024/028053,Rezydencki,76.59,3.31,22.09.2024 19:06:46,15,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,1,144,Dolnośląskie,34,Chirurgia ogólna,2024/028429,Rezydencki,76.33,3.41,25.09.2024 20:52:51,15,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,1,144,Dolnośląskie,35,Chirurgia ogólna,2024/030496,Rezydencki,75.98,4.01,26.09.2024 13:16:08,15,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,1,144,Dolnośląskie,36,Chirurgia ogólna,2024/025875,Rezydencki,74.51,4.19,17.09.2024 17:31:38,15,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,2,144,Dolnośląskie,37,Chirurgia ogólna,2024/023111,Rezydencki,73.53,3.66,22.09.2024 13:40:56,15,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,2,144,Dolnośląskie,38,Chirurgia ogólna,2024/033105,Rezydencki,70.59,4.28,22.10.2024 20:33:36,15,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,2,144,Dolnośląskie,39,Chirurgia ogólna,2024/034252,Rezydencki,63.77,3.39,24.10.2024 12:12:36,15,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,2,144,Dolnośląskie,40,Chirurgia ogólna,2024/030677,Rezydencki,56.86,3.22,27.09.2024 17:45:47,15,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,2,144,Dolnośląskie,41,Chirurgia onkologiczna,2024/024221,Rezydencki,84.80,3.87,30.09.2024 22:43:59,1,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,2,144,Dolnośląskie,42,Chirurgia onkologiczna,2024/031875,Pozarezydencki,81.65,3.70,28.09.2024 07:51:18,2,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,2,144,Dolnośląskie,43,Chirurgia onkologiczna,2024/025816,Pozarezydencki,79.32,4.22,14.10.2024 14:13:44,2,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,2,144,Dolnośląskie,44,Chirurgia plastyczna,2024/026499,Rezydencki,94.61,4.53,24.10.2024 14:07:30,3,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,2,144,Dolnośląskie,45,Chirurgia plastyczna,2024/022644,Rezydencki,91.91,4.28,19.10.2024 14:11:56,3,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,2,144,Dolnośląskie,46,Chirurgia plastyczna,2024/022549,Rezydencki,91.79,4.52,14.09.2024 13:13:28,3,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,2,144,Dolnośląskie,47,Chirurgia stomatologiczna,2024/022534,Rezydencki,85.51,4.20,01.09.2024 15:20:09,1,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,2,144,Dolnośląskie,48,Chirurgia szczękowo-twarzowa,2024/028914,Rezydencki,89.90,4.19,24.10.2024 20:55:54,2,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,2,144,Dolnośląskie,49,Chirurgia szczękowo-twarzowa,2024/022201,Rezydencki,85.85,0.00,15.10.2024 20:21:10,2,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,2,144,Dolnośląskie,50,Choroby płuc,2024/031149,Rezydencki,91.06,4.47,30.09.2024 14:30:08,8,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,2,144,Dolnośląskie,51,Choroby płuc,2024/027674,Rezydencki,90.93,4.61,20.09.2024 23:27:20,8,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,2,144,Dolnośląskie,52,Choroby płuc,2024/028024,Rezydencki,89.13,4.66,16.10.2024 09:18:56,8,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,2,144,Dolnośląskie,53,Choroby płuc,2024/028452,Rezydencki,87.75,4.26,30.09.2024 15:26:07,8,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,2,144,Dolnośląskie,54,Choroby płuc,2024/028048,Rezydencki,87.32,4.29,27.09.2024 20:59:26,8,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,2,144,Dolnośląskie,55,Choroby płuc,2024/022868,Rezydencki,87.20,4.10,25.09.2024 19:52:28,8,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,2,144,Dolnośląskie,56,Choroby płuc,2024/032169,Rezydencki,85.29,3.88,28.09.2024 20:19:37,8,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,2,144,Dolnośląskie,57,Choroby płuc,2024/026650,Rezydencki,83.33,3.44,30.09.2024 20:54:39,8,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,2,144,Dolnośląskie,58,Choroby płuc,2024/029935,Pozarezydencki,82.24,4.56,25.09.2024 18:57:20,3,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,2,144,Dolnośląskie,59,Choroby płuc,2024/028221,Pozarezydencki,71.66,3.74,23.09.2024 14:34:31,3,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,2,144,Dolnośląskie,60,Choroby płuc,2024/027442,Pozarezydencki,70.97,3.36,11.10.2024 23:48:52,3,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,2,144,Dolnośląskie,61,Choroby płuc dzieci,2024/029878,Rezydencki,82.44,3.77,25.09.2024 18:04:12,1,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,2,144,Dolnośląskie,62,Choroby wewnętrzne,2024/022428,Rezydencki,88.78,4.69,16.10.2024 10:00:25,23,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,2,144,Dolnośląskie,63,Choroby wewnętrzne,2024/024861,Rezydencki,88.16,4.30,27.09.2024 11:05:22,23,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,2,144,Dolnośląskie,64,Choroby wewnętrzne,2024/026259,Rezydencki,87.56,3.86,26.09.2024 21:16:26,23,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,2,144,Dolnośląskie,65,Choroby wewnętrzne,2024/026649,Rezydencki,87.44,4.30,24.09.2024 22:31:33,23,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,2,144,Dolnośląskie,66,Choroby wewnętrzne,2024/022703,Rezydencki,85.51,3.74,30.09.2024 18:27:56,23,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,2,144,Dolnośląskie,67,Choroby wewnętrzne,2024/031630,Rezydencki,84.88,4.04,27.09.2024 17:41:00,23,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,2,144,Dolnośląskie,68,Choroby wewnętrzne,2024/032489,Rezydencki,84.78,4.31,29.09.2024 18:30:38,23,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,2,144,Dolnośląskie,69,Choroby wewnętrzne,2024/029304,Rezydencki,84.54,4.27,26.09.2024 19:34:54,23,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,2,144,Dolnośląskie,70,Choroby wewnętrzne,2024/033926,Rezydencki,84.07,4.30,30.09.2024 23:50:27,23,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,2,144,Dolnośląskie,71,Choroby wewnętrzne,2024/032857,Rezydencki,82.61,3.95,29.09.2024 21:11:43,23,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,2,144,Dolnośląskie,72,Choroby wewnętrzne,2024/022705,Rezydencki,80.68,4.14,09.10.2024 12:59:45,23,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,2,144,Dolnośląskie,73,Choroby wewnętrzne,2024/030650,Rezydencki,80.19,4.22,30.09.2024 16:07:38,23,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,2,144,Dolnośląskie,74,Choroby wewnętrzne,2024/029119,Rezydencki,80.19,3.73,29.09.2024 19:12:49,23,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,3,144,Dolnośląskie,75,Choroby wewnętrzne,2024/023114,Rezydencki,80.00,3.96,03.09.2024 16:52:41,23,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,3,144,Dolnośląskie,76,Choroby wewnętrzne,2024/022445,Rezydencki,79.90,4.15,01.09.2024 13:21:59,23,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,3,144,Dolnośląskie,77,Choroby wewnętrzne,2024/033548,Rezydencki,79.23,3.57,30.09.2024 14:22:52,23,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,3,144,Dolnośląskie,78,Choroby wewnętrzne,2024/024254,Rezydencki,75.49,4.35,30.09.2024 17:13:29,23,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,3,144,Dolnośląskie,79,Choroby wewnętrzne,2024/025952,Rezydencki,72.68,3.66,29.09.2024 20:21:23,23,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,3,144,Dolnośląskie,80,Choroby wewnętrzne,2024/025413,Rezydencki,71.71,4.91,21.09.2024 23:46:18,23,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,3,144,Dolnośląskie,81,Choroby wewnętrzne,2024/034132,Rezydencki,70.24,3.58,30.09.2024 22:05:57,23,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,3,144,Dolnośląskie,82,Choroby wewnętrzne,2024/033207,Rezydencki,68.63,3.34,30.09.2024 08:54:01,23,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,3,144,Dolnośląskie,83,Choroby wewnętrzne,2024/032431,Rezydencki,67.16,3.55,18.10.2024 08:53:21,23,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,3,144,Dolnośląskie,84,Choroby wewnętrzne,2024/033113,Rezydencki,60.68,3.67,20.10.2024 20:58:54,23,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,3,144,Dolnośląskie,85,Choroby wewnętrzne,2024/029367,Pozarezydencki,68.06,0.00,28.09.2024 17:57:22,3,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,3,144,Dolnośląskie,86,Choroby wewnętrzne,2024/029678,Pozarezydencki,66.36,3.48,25.09.2024 15:19:57,3,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,3,144,Dolnośląskie,87,Choroby wewnętrzne,2024/026558,Pozarezydencki,64.68,3.98,27.10.2024 22:18:08,3,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,3,144,Dolnośląskie,88,Choroby zakaźne,2024/026945,Rezydencki,86.23,4.11,26.09.2024 21:34:29,1,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,3,144,Dolnośląskie,89,Dermatologia i wenerologia,2024/027687,Rezydencki,93.17,4.26,21.09.2024 10:00:31,4,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,3,144,Dolnośląskie,90,Dermatologia i wenerologia,2024/030981,Rezydencki,93.00,4.39,30.09.2024 17:18:49,4,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,3,144,Dolnośląskie,91,Dermatologia i wenerologia,2024/031170,Rezydencki,92.68,4.69,30.09.2024 23:57:08,4,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,3,144,Dolnośląskie,92,Dermatologia i wenerologia,2024/022219,Rezydencki,92.65,4.31,03.09.2024 17:54:15,4,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,3,144,Dolnośląskie,93,Dermatologia i wenerologia,2024/025644,Pozarezydencki,86.98,4.52,25.09.2024 16:17:51,1,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,3,144,Dolnośląskie,94,Diabetologia,2024/024986,Rezydencki,90.73,4.44,29.09.2024 18:12:04,1,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,3,144,Dolnośląskie,95,Diabetologia,2024/034127,Pozarezydencki,80.00,3.49,30.09.2024 22:09:41,1,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,3,144,Dolnośląskie,96,Endokrynologia,2024/025642,Rezydencki,95.17,4.22,29.09.2024 13:27:54,1,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,3,144,Dolnośląskie,97,Endokrynologia,2024/023421,Pozarezydencki,87.56,0.00,16.09.2024 19:03:47,1,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,3,144,Dolnośląskie,98,Gastroenterologia,2024/029258,Rezydencki,91.30,4.30,26.09.2024 16:05:02,2,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,3,144,Dolnośląskie,99,Gastroenterologia,2024/028765,Rezydencki,90.93,4.56,27.09.2024 19:14:47,2,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,3,144,Dolnośląskie,100,Gastroenterologia dziecięca,2024/031245,Rezydencki,81.88,3.87,16.10.2024 17:36:11,1,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,3,144,Dolnośląskie,101,Gastroenterologia dziecięca,2024/026947,Pozarezydencki,81.57,4.14,18.09.2024 11:19:47,4,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,3,144,Dolnośląskie,102,Gastroenterologia dziecięca,2024/023931,Pozarezydencki,74.88,3.68,30.09.2024 00:01:27,4,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,3,144,Dolnośląskie,103,Gastroenterologia dziecięca,2024/029346,Pozarezydencki,66.59,3.49,14.10.2024 23:27:50,4,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,3,144,Dolnośląskie,104,Gastroenterologia dziecięca,2024/031216,Pozarezydencki,62.33,3.31,27.09.2024 00:17:54,4,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,3,144,Dolnośląskie,105,Geriatria,2024/023566,Pozarezydencki,77.27,0.00,25.09.2024 21:53:07,1,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,3,144,Dolnośląskie,106,Ginekologia onkologiczna,2024/025073,Pozarezydencki,85.00,4.04,10.10.2024 09:16:11,1,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,3,144,Dolnośląskie,107,Hematologia,2024/024590,Rezydencki,86.27,4.60,16.10.2024 10:01:52,5,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,3,144,Dolnośląskie,108,Hematologia,2024/027546,Rezydencki,85.61,4.19,29.09.2024 22:41:19,5,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,3,144,Dolnośląskie,109,Hematologia,2024/033538,Rezydencki,85.29,4.22,30.09.2024 22:44:24,5,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,3,144,Dolnośląskie,110,Hematologia,2024/026309,Rezydencki,84.31,4.26,23.09.2024 21:04:39,5,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,3,144,Dolnośląskie,111,Hematologia,2024/030173,Rezydencki,77.29,3.50,25.09.2024 22:52:00,5,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,3,144,Dolnośląskie,112,Kardiochirurgia,2024/034070,Rezydencki,72.55,4.29,30.09.2024 23:58:25,2,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,4,144,Dolnośląskie,113,Kardiochirurgia,2024/030679,Rezydencki,59.90,2.97,16.10.2024 00:50:59,2,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,4,144,Dolnośląskie,114,Kardiologia,2024/022188,Rezydencki,92.16,4.41,17.09.2024 17:03:11,13,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,4,144,Dolnośląskie,115,Kardiologia,2024/032715,Rezydencki,91.42,4.39,30.09.2024 19:28:20,13,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,4,144,Dolnośląskie,116,Kardiologia,2024/029246,Rezydencki,91.42,4.30,25.09.2024 19:49:02,13,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,4,144,Dolnośląskie,117,Kardiologia,2024/033151,Rezydencki,91.18,4.16,30.09.2024 00:44:56,13,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,4,144,Dolnośląskie,118,Kardiologia,2024/027764,Rezydencki,91.06,4.40,23.09.2024 17:43:39,13,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,4,144,Dolnośląskie,119,Kardiologia,2024/025901,Rezydencki,90.82,3.67,16.10.2024 15:07:12,13,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,4,144,Dolnośląskie,120,Kardiologia,2024/029226,Rezydencki,90.34,4.40,24.09.2024 20:08:05,13,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,4,144,Dolnośląskie,121,Kardiologia,2024/031599,Rezydencki,90.20,4.29,30.09.2024 19:28:59,13,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,4,144,Dolnośląskie,122,Kardiologia,2024/028101,Rezydencki,89.86,4.44,17.10.2024 19:02:05,13,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,4,144,Dolnośląskie,123,Kardiologia,2024/027373,Rezydencki,89.51,4.44,26.09.2024 19:23:49,13,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,4,144,Dolnośląskie,124,Kardiologia,2024/029654,Rezydencki,89.46,4.24,30.09.2024 18:35:53,13,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,4,144,Dolnośląskie,125,Kardiologia,2024/025310,Rezydencki,88.97,4.41,17.09.2024 20:49:38,13,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,4,144,Dolnośląskie,126,Kardiologia,2024/023005,Rezydencki,88.29,4.14,24.09.2024 22:09:26,13,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,4,144,Dolnośląskie,127,Kardiologia,2024/025271,Pozarezydencki,84.33,4.05,27.09.2024 08:33:28,1,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,4,144,Dolnośląskie,128,Medycyna nuklearna,2024/026709,Rezydencki,86.71,4.44,18.09.2024 12:14:28,1,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,4,144,Dolnośląskie,129,Medycyna paliatywna,2024/032197,Pozarezydencki,73.18,0.00,24.10.2024 15:38:30,3,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,4,144,Dolnośląskie,130,Medycyna paliatywna,2024/025400,Pozarezydencki,63.64,0.00,11.09.2024 22:46:55,3,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,4,144,Dolnośląskie,131,Medycyna paliatywna,2024/030012,Pozarezydencki,63.64,0.00,18.10.2024 18:59:11,3,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,4,144,Dolnośląskie,132,Medycyna ratunkowa,2024/030397,Rezydencki,77.56,3.57,28.09.2024 19:13:32,2,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,4,144,Dolnośląskie,133,Medycyna ratunkowa,2024/023616,Rezydencki,69.27,0.00,05.09.2024 22:50:21,2,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,4,144,Dolnośląskie,134,Medycyna ratunkowa,2024/030546,Pozarezydencki,83.64,4.34,26.09.2024 14:18:58,4,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,4,144,Dolnośląskie,135,Medycyna ratunkowa,2024/028468,Pozarezydencki,83.02,4.36,26.09.2024 12:06:25,4,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,4,144,Dolnośląskie,136,Medycyna ratunkowa,2024/023065,Pozarezydencki,70.91,0.00,02.10.2024 12:00:44,4,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,4,144,Dolnośląskie,137,Medycyna ratunkowa,2024/028943,Pozarezydencki,63.64,0.00,24.09.2024 11:26:53,4,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,4,144,Dolnośląskie,138,Medycyna rodzinna,2024/029069,Rezydencki,89.71,3.97,29.09.2024 20:58:39,46,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,4,144,Dolnośląskie,139,Medycyna rodzinna,2024/025039,Rezydencki,89.61,4.44,16.10.2024 10:20:51,46,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,4,144,Dolnośląskie,140,Medycyna rodzinna,2024/026022,Rezydencki,89.27,4.51,23.09.2024 22:14:26,46,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,4,144,Dolnośląskie,141,Medycyna rodzinna,2024/030174,Rezydencki,89.22,4.77,30.09.2024 12:59:13,46,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,4,144,Dolnośląskie,142,Medycyna rodzinna,2024/023354,Rezydencki,88.24,3.96,26.09.2024 20:03:58,46,NIE,,
j-2024,12,19.11.2024,19.11.2024 09:28:25,4,144,Dolnośląskie,143,Medycyna rodzinna,2024/029274,Rezydencki,87.44,4.26,24.09.2024 20:32:04,46,NIE,,
